symbol,forecast1_T,forecast10_T,consensus1_T,actual1_T
AAPL,270.39896653899956,264.6931235615308,270.39896653899956,268.47
ACCO,3.48382838930469,4.8333122093300105,3.48382838930469,3.44
ADV,1.2013201342429964,1.6258109514134698,1.2013201342429964,1.13
AENT,6.3,6.427604323740892,6.3,6.545
AHCO,9.61,9.713985254202314,9.61,9.5
AHL,36.8705171201413,37.81825689274773,36.8705171201413,36.82
AII,24.857315777711335,24.87432814558499,24.857315777711335,25.01
ALAB,163.00913121565597,169.45053892001712,163.00913121565597,165.49
ALIT,2.3926292673673015,3.646833304233266,2.3926292673673015,2.35
ALK,41.17524760117871,48.37895557213378,41.17524760117871,42.93
AMRK,25.0174917956104,28.695311463310105,25.0174917956104,25.29
AMTM,21.81397143762908,23.53965798161934,21.81397143762908,22.41
AMZN,243.04,243.77004396755606,243.04,244.41
ARCO,7.007700783084147,7.860487531943937,7.007700783084147,7.06
ARDT,14.47590761762811,15.664682544721511,14.47590761762811,14.4
ASIX,18.169967030425322,20.718424905953874,18.169967030425322,15.38
ASML,1029.2,1027.3804114220409,1029.2,1016.96
ATR,116.27777799360338,131.68049618260028,116.27777799360338,116.22
AVGO,355.59,356.670035634355,355.59,349.43
AVNW,23.33,23.666188314471196,23.33,22.81
AXON,587.7859196828608,665.8328885652609,587.7859196828608,602.51
BA,196.7161719822907,211.21955187219248,196.7161719822907,194.61
BHVN,8.539383954243966,18.256116648942076,8.539383954243966,8.26
BIIB,156.91243153437276,160.8077592419168,156.91243153437276,155.51
BILL,44.418811963634795,48.71937334328026,44.418811963634795,45.59
BMRN,51.89702979929746,63.04198314312471,51.89702979929746,51.46
BRZE,27.26996704731602,31.829266837034332,27.26996704731602,27.99
BTM,2.6829482998093592,3.936833304233266,2.6829482998093592,2.67
BWMX,14.012275351425632,15.199870994111205,14.012275351425632,14.32
CAL,11.052145235035567,13.1156002285678,11.052145235035567,11.3
CBZ,53.638943993949795,64.38042229488421,53.638943993949795,53.1
CCJ,90.24,90.25165616418786,90.24,92.26
CDE,14.455885615390725,15.910651418231456,14.455885615390725,14.69
CG,52.54774487201241,56.810690425548806,52.54774487201241,52.43
CHE,430.59,435.127008539547,430.59,434.61
CHMI,2.3125412584177685,2.7506739178743196,2.3125412584177685,2.37
CIVI,26.378987947752467,30.292597419088587,26.378987947752467,27.28
CLDX,23.285588602076754,31.236458667322744,23.285588602076754,22.9
CLS,342.7726452801004,318.0509517706068,342.7726452801004,322.1
CMPS,5.596149625348626,8.200145513563278,5.596149625348626,5.45
CON,18.730583093072056,21.244526912271233,18.730583093072056,19.34
COP,85.75423558271257,93.18796213552166,85.75423558271257,86.83
COUR,7.998789893834619,9.116456405453881,7.998789893834619,8.25
CPRX,21.013091348133745,24.458025507531623,21.013091348133745,21.39
CRM,239.53322376693484,263.4001564260885,239.53322376693484,239.88
CRNT,2.35,2.4236178790812843,2.35,2.33
CRNX,43.537843865189934,53.08052467421152,43.537843865189934,40.0
CRTO,22.63289270689711,26.28093006460215,22.63289270689711,21.42
CSTM,15.43,15.502084173267091,15.43,15.83
CTRA,26.525750252483412,27.90323232964556,26.525750252483412,26.57
CVE,16.828492880520642,16.398008999857144,16.828492880520642,17.44
CVNA,290.45918645771917,324.9402018221933,290.45918645771917,303.99
CVS,78.66,78.87042443770734,78.66,78.99
CWAN,15.907480777601014,19.712650672211556,15.907480777601014,16.18
CWT,46.35,46.62299963492643,46.35,46.61
DAR,31.92,32.340235393089,31.92,32.53
DAVA,8.9,9.149073824225013,8.9,9.3
DBRG,10.94,11.110548086538309,10.94,10.54
DDI,8.659515967668268,11.41399025412295,8.659515967668268,8.71
DDL,1.7118811912962701,1.9598021380613007,1.7118811912962701,1.67
DDOG,190.82,190.07615268011617,190.82,191.24
DHR,210.67,211.70923905969747,210.67,209.94
DIS,110.6115513604239,116.65682731226487,110.6115513604239,110.74
DOX,83.75203535897424,88.96373224234536,83.75203535897424,84.57
DUOL,193.95313567353182,259.71071078236855,193.95313567353182,201.21
DVN,32.465676627916984,35.79372398850812,32.465676627916984,33.7
DXCM,58.08382849064889,68.69526047205599,58.08382849064889,55.0
EEFT,72.24939507359755,85.68486932747099,72.24939507359755,72.28
EFX,204.41463184256455,222.71916485452613,204.41463184256455,207.59
ENOV,28.451265179321638,33.96101819812384,28.451265179321638,28.06
ERIE,281.88976950011914,238.14363240266027,281.88976950011914,284.84
EVH,6.006600671214983,8.466730924905955,6.006600671214983,4.96
FANG,140.9248627478222,150.6186709337947,140.9248627478222,143.65
